what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.navigate.backwardHistory",1357287541710
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1357287542964
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357287547177
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357287551734
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357287554344
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357287565518
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357287566507
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357287570355
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357287572531
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357287602948
activated,editor,org.eclipse.emf.ecore.editor,2.7.0.v20120130-0943,"org.eclipse.emf.ecore.presentation.EcoreEditorID",1357287614630
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1357287617267
activated,editor,org.eclipse.emf.ecore.editor,2.7.0.v20120130-0943,"org.eclipse.emf.ecore.presentation.EcoreEditorID",1357287619408
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1357287620498
activated,editor,org.eclipse.emf.ecore.editor,2.7.0.v20120130-0943,"org.eclipse.emf.ecore.presentation.EcoreEditorID",1357287621195
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1357287626374
opened,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1357287635814
activated,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1357287635862
activated,editor,org.eclipse.emf.ecore.editor,2.7.0.v20120130-0943,"org.eclipse.emf.ecore.presentation.EcoreEditorID",1357287637812
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.navigate.backwardHistory",1357287637838
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1357287638966
opened,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1357287639144
activated,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1357287639184
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357287641171
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357287641948
