what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineStart",1357085831692
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.delete.line",1357085832998
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1357085834804
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1357085836322
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.delete.line",1357085837120
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1357085837595
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357085838779
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357085841133
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357085842192
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357085875011
activated,editor,es.upv.dsic.issi.moment.mdt.maudesimpleGUI,2.0.6,"es.upv.dsic.issi.moment.maudesimpleGUI.ui.editors.MaudeEditor",1357085877239
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1357085892710
opened,editor,es.upv.dsic.issi.moment.mdt.maudesimpleGUI,2.0.6,"es.upv.dsic.issi.moment.maudesimpleGUI.ui.editors.MaudeEditor",1357085892947
activated,editor,es.upv.dsic.issi.moment.mdt.maudesimpleGUI,2.0.6,"es.upv.dsic.issi.moment.maudesimpleGUI.ui.editors.MaudeEditor",1357085892978
activated,editor,es.upv.dsic.issi.moment.mdt.maudesimpleGUI,2.0.6,"es.upv.dsic.issi.moment.maudesimpleGUI.ui.editors.MaudeEditor",1357085912988
closed,editor,es.upv.dsic.issi.moment.mdt.maudesimpleGUI,2.0.6,"es.upv.dsic.issi.moment.maudesimpleGUI.ui.editors.MaudeEditor",1357085912994
activated,editor,es.upv.dsic.issi.moment.mdt.maudesimpleGUI,2.0.6,"es.upv.dsic.issi.moment.maudesimpleGUI.ui.editors.MaudeEditor",1357085929739
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1357085932330
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1357085932597
activated,editor,es.upv.dsic.issi.moment.mdt.maudesimpleGUI,2.0.6,"es.upv.dsic.issi.moment.maudesimpleGUI.ui.editors.MaudeEditor",1357085936904
activated,editor,es.upv.dsic.issi.moment.mdt.maudesimpleGUI,2.0.6,"es.upv.dsic.issi.moment.maudesimpleGUI.ui.editors.MaudeEditor",1357085944133
activated,editor,es.upv.dsic.issi.moment.mdt.maudesimpleGUI,2.0.6,"es.upv.dsic.issi.moment.maudesimpleGUI.ui.editors.MaudeEditor",1357085969789
activated,editor,es.upv.dsic.issi.moment.mdt.maudesimpleGUI,2.0.6,"es.upv.dsic.issi.moment.maudesimpleGUI.ui.editors.MaudeEditor",1357085973903
activated,view,es.upv.dsic.issi.moment.mdt.maudesimpleGUI,2.0.6,"es.upv.dsic.issi.moment.maudesimpleGUI.ui.toconsole.MaudeConsoleView",1357085989613
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357086004055
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357086231204
activated,editor,es.upv.dsic.issi.moment.mdt.maudesimpleGUI,2.0.6,"es.upv.dsic.issi.moment.maudesimpleGUI.ui.editors.MaudeEditor",1357086234140
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357086257252
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357086258951
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357086259873
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357086260290
activated,editor,es.upv.dsic.issi.moment.mdt.maudesimpleGUI,2.0.6,"es.upv.dsic.issi.moment.maudesimpleGUI.ui.editors.MaudeEditor",1357086261862
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357086266299
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357086268006
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357086270178
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357086271798
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1357086283461
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1357086285575
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1357086327512
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357086329009
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357086330482
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357086332512
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357086355764
activated,editor,es.upv.dsic.issi.moment.mdt.maudesimpleGUI,2.0.6,"es.upv.dsic.issi.moment.maudesimpleGUI.ui.editors.MaudeEditor",1357086359633
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.lineEnd",1357086361278
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1357086362429
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineStart",1357086362701
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1357086363534
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1357086376730
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357086378103
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357086380423
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357086381957
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357086789772
