what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357249286070
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357249286848
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357284390974
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357284399046
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357284687283
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357284695631
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357284699550
activated,editor,es.upv.dsic.issi.moment.mdt.maudesimpleGUI,2.0.6,"es.upv.dsic.issi.moment.maudesimpleGUI.ui.editors.MaudeEditor",1357284706350
activated,editor,es.upv.dsic.issi.moment.mdt.maudesimpleGUI,2.0.6,"es.upv.dsic.issi.moment.maudesimpleGUI.ui.editors.MaudeEditor",1357284709572
activated,editor,es.upv.dsic.issi.moment.mdt.maudesimpleGUI,2.0.6,"es.upv.dsic.issi.moment.maudesimpleGUI.ui.editors.MaudeEditor",1357284715665
activated,editor,es.upv.dsic.issi.moment.mdt.maudesimpleGUI,2.0.6,"es.upv.dsic.issi.moment.maudesimpleGUI.ui.editors.MaudeEditor",1357284740950
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357284750970
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357284752610
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357284792688
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357284912813
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357284914572
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357284931687
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357284934793
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357284956417
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357284958655
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357284978345
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1357284982938
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357284990153
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357285054260
opened,editor,es.upv.dsic.issi.moment.mdt.maudesimpleGUI,2.0.6,"es.upv.dsic.issi.moment.maudesimpleGUI.ui.editors.MaudeEditor",1357285059663
activated,editor,es.upv.dsic.issi.moment.mdt.maudesimpleGUI,2.0.6,"es.upv.dsic.issi.moment.maudesimpleGUI.ui.editors.MaudeEditor",1357285059687
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357285105369
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357285107459
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357285110605
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357285111869
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357285113123
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357285114754
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357285117914
