what,kind,bundleId,bundleVersion,description,time
activated,editor,es.upv.dsic.issi.moment.mdt.maudesimpleGUI,2.0.6,"es.upv.dsic.issi.moment.maudesimpleGUI.ui.editors.MaudeEditor",1358705546837
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1358705562217
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1358705688011
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1358705690011
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1358705985810
activated,editor,es.upv.dsic.issi.moment.mdt.maudesimpleGUI,2.0.6,"es.upv.dsic.issi.moment.maudesimpleGUI.ui.editors.MaudeEditor",1358706012039
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1358706026957
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1358706027243
activated,editor,es.upv.dsic.issi.moment.mdt.maudesimpleGUI,2.0.6,"es.upv.dsic.issi.moment.maudesimpleGUI.ui.editors.MaudeEditor",1358706028489
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1358706034195
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1358706044101
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1358706045358
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1358706046311
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1358706046844
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1358706087311
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1358706111128
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1358706149676
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1358706170439
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1358706177546
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1358706212761
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1358706213909
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1358706217482
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1358706217947
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1358706221054
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1358706222696
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1358706224345
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1358706237593
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1358706237968
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1358706251641
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1358706290773
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1358706346448
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1358706356483
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1358706358244
activated,editor,es.upv.dsic.issi.moment.mdt.maudesimpleGUI,2.0.6,"es.upv.dsic.issi.moment.maudesimpleGUI.ui.editors.MaudeEditor",1358706360647
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1358706374158
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1358706378908
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1358706379247
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1358706380099
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1358706382573
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1358706389474
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1358706475787
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1358706480555
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1358706483403
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1358706485348
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1358706494114
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1358706498320
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1358706500087
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1358706805969
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1358706837633
activated,editor,es.upv.dsic.issi.moment.mdt.maudesimpleGUI,2.0.6,"es.upv.dsic.issi.moment.maudesimpleGUI.ui.editors.MaudeEditor",1358706839453
activated,editor,es.upv.dsic.issi.moment.mdt.maudesimpleGUI,2.0.6,"es.upv.dsic.issi.moment.maudesimpleGUI.ui.editors.MaudeEditor",1358706846731
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.navigate.backwardHistory",1358706846737
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1358706861040
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1358706862259
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1358706862753
activated,editor,es.upv.dsic.issi.moment.mdt.maudesimpleGUI,2.0.6,"es.upv.dsic.issi.moment.maudesimpleGUI.ui.editors.MaudeEditor",1358706865126
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1358706866200
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1358706867425
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.redo",1358706869785
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.redo",1358706870359
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1358706871075
activated,editor,es.upv.dsic.issi.moment.mdt.maudesimpleGUI,2.0.6,"es.upv.dsic.issi.moment.maudesimpleGUI.ui.editors.MaudeEditor",1358706874726
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1358706885464
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.lineStart",1358706890643
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1358706891463
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineStart",1358706892244
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1358706895720
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1358706896628
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1358706912993
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1358706914173
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1358706918433
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineStart",1358706920346
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1358706921575
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1358706922060
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1358706926727
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1358706929042
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1358706955368
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1358706957355
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1358706957813
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1358706965518
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1358706976193
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1358706978504
