what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1359318889762
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1359318896886
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1359318898263
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359318899023
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359318901094
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359318902329
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359318912199
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1359318915348
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1359318918101
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1359318918404
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359318918998
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359318920559
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1359318926469
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359318926830
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359318927869
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359318928591
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359318956211
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1359318963619
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359318964086
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359319008803
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359319012189
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359319030629
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359319036022
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359320365627
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359320390515
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359320471819
