what,kind,bundleId,bundleVersion,description,time
activated,editor,es.upv.dsic.issi.moment.mdt.maudesimpleGUI,2.0.6,"es.upv.dsic.issi.moment.maudesimpleGUI.ui.editors.MaudeEditor",1357226206127
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1357226209239
activated,editor,es.upv.dsic.issi.moment.mdt.maudesimpleGUI,2.0.6,"es.upv.dsic.issi.moment.maudesimpleGUI.ui.editors.MaudeEditor",1357226210178
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1357226211736
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1357226211949
activated,editor,es.upv.dsic.issi.moment.mdt.maudesimpleGUI,2.0.6,"es.upv.dsic.issi.moment.maudesimpleGUI.ui.editors.MaudeEditor",1357226218726
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357226222568
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357226347855
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357226354726
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357226355329
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357226356167
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357226358470
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357226362239
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357226366782
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357226374995
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357226379099
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1357226384029
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.lineStart",1357226385756
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1357226386065
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1357226388537
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357226391591
opened,editor,es.upv.dsic.issi.moment.mdt.maudesimpleGUI,2.0.6,"es.upv.dsic.issi.moment.maudesimpleGUI.ui.editors.MaudeEditor",1357226399800
activated,editor,es.upv.dsic.issi.moment.mdt.maudesimpleGUI,2.0.6,"es.upv.dsic.issi.moment.maudesimpleGUI.ui.editors.MaudeEditor",1357226399818
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357226399864
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1357226415049
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357226415533
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357226619010
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1357226621721
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1357226625674
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357226655989
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357226656560
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357226657028
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357226663074
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1357226693429
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357226722810
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357226782881
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357226783612
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357226786888
