what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1359060265351
activated,editor,es.upv.dsic.issi.moment.mdt.maudesimpleGUI,2.0.6,"es.upv.dsic.issi.moment.maudesimpleGUI.ui.editors.MaudeEditor",1359060267803
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1359060276018
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1359060285110
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1359060302324
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359060303971
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359060340230
activated,editor,es.upv.dsic.issi.moment.mdt.maudesimpleGUI,2.0.6,"es.upv.dsic.issi.moment.maudesimpleGUI.ui.editors.MaudeEditor",1359060342376
activated,editor,es.upv.dsic.issi.moment.mdt.maudesimpleGUI,2.0.6,"es.upv.dsic.issi.moment.maudesimpleGUI.ui.editors.MaudeEditor",1359060343857
activated,editor,es.upv.dsic.issi.moment.mdt.maudesimpleGUI,2.0.6,"es.upv.dsic.issi.moment.maudesimpleGUI.ui.editors.MaudeEditor",1359060347552
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1359060361103
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359060361745
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359060366734
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1359060367806
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1359060381029
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1359060381392
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359060382073
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359060384288
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1359060384851
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.lineStart",1359060402634
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1359060403439
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1359060403792
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359060404241
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359060408188
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1359060409319
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1359060428542
opened,editor,es.upv.dsic.issi.moment.mdt.maudesimpleGUI,2.0.6,"es.upv.dsic.issi.moment.maudesimpleGUI.ui.editors.MaudeEditor",1359060441055
activated,editor,es.upv.dsic.issi.moment.mdt.maudesimpleGUI,2.0.6,"es.upv.dsic.issi.moment.maudesimpleGUI.ui.editors.MaudeEditor",1359060441082
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359060441097
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359060444063
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359060446415
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1359060446433
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359060450280
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359060454531
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359060455036
activated,editor,es.upv.dsic.issi.moment.mdt.maudesimpleGUI,2.0.6,"es.upv.dsic.issi.moment.maudesimpleGUI.ui.editors.MaudeEditor",1359060457754
