what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354747741108
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354747744597
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1354747759872
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1354747761348
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1354747761881
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1354747762151
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354747762589
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354747766769
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354747768134
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354747780501
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354747781312
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354747782288
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354747783238
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354747784443
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354747785560
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354747794179
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1354747833765
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354747834398
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354747835072
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354747835566
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354747836509
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354747837431
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354747842435
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.delete.line",1354747868598
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1354747875791
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1354747876819
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1354747878162
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354747878624
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354747880959
activated,editor,es.upv.dsic.issi.moment.mdt.maudesimpleGUI,2.0.6,"es.upv.dsic.issi.moment.maudesimpleGUI.ui.editors.MaudeEditor",1354747885351
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1354747907352
activated,editor,es.upv.dsic.issi.moment.mdt.maudesimpleGUI,2.0.6,"es.upv.dsic.issi.moment.maudesimpleGUI.ui.editors.MaudeEditor",1354747908685
activated,editor,es.upv.dsic.issi.moment.mdt.maudesimpleGUI,2.0.6,"es.upv.dsic.issi.moment.maudesimpleGUI.ui.editors.MaudeEditor",1354747909309
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1354747910531
opened,editor,es.upv.dsic.issi.moment.mdt.maudesimpleGUI,2.0.6,"es.upv.dsic.issi.moment.maudesimpleGUI.ui.editors.MaudeEditor",1354747910718
activated,editor,es.upv.dsic.issi.moment.mdt.maudesimpleGUI,2.0.6,"es.upv.dsic.issi.moment.maudesimpleGUI.ui.editors.MaudeEditor",1354747910736
activated,editor,es.upv.dsic.issi.moment.mdt.maudesimpleGUI,2.0.6,"es.upv.dsic.issi.moment.maudesimpleGUI.ui.editors.MaudeEditor",1354747912232
closed,editor,es.upv.dsic.issi.moment.mdt.maudesimpleGUI,2.0.6,"es.upv.dsic.issi.moment.maudesimpleGUI.ui.editors.MaudeEditor",1354747912233
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.lineStart",1354747927934
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1354747937103
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.lineStart",1354747938452
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1354747939667
activated,editor,es.upv.dsic.issi.moment.mdt.maudesimpleGUI,2.0.6,"es.upv.dsic.issi.moment.maudesimpleGUI.ui.editors.MaudeEditor",1354747941093
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1354747984635
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1354748047801
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1354748051042
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1354748052451
activated,view,es.upv.dsic.issi.moment.mdt.maudesimpleGUI,2.0.6,"es.upv.dsic.issi.moment.maudesimpleGUI.ui.toconsole.MaudeConsoleView",1354748053979
